2022/07/18 10:20:56 writeplatemenu write ok = 0, dish_id = 0
2022/07/18 10:26:52 writeplatemenu write ok = 0, dish_id = 0
2022/07/18 10:26:59 writeplatemenu write ok = 0, dish_id = 258
2022/07/18 10:27:04 writeplatemenu write ok = 0, dish_id = 262
2022/07/18 10:27:11 writeplatemenu write ok = 0, dish_id = 262
2022/07/18 10:27:18 writeplatemenu write ok = 0, dish_id = 262
2022/07/18 10:27:20 writeplatemenu write ok = 0, dish_id = 260
2022/07/18 10:29:14 writeplatemenu write ok = 0, dish_id = 0
2022/07/18 10:31:53 writeplatemenu write ok = 0, dish_id = 0
2022/07/18 10:32:00 writeplatemenu write ok = 0, dish_id = 258
2022/07/18 10:32:04 writeplatemenu write ok = 0, dish_id = 262
2022/07/18 10:32:09 writeplatemenu write ok = 0, dish_id = 265
2022/07/18 10:32:12 writeplatemenu write ok = 0, dish_id = 266
2022/07/18 10:32:14 writeplatemenu write ok = 0, dish_id = 257
2022/07/18 10:32:21 writeplatemenu write ok = 0, dish_id = 260
2022/07/18 10:32:23 writeplatemenu write ok = 0, dish_id = 258
2022/07/18 10:32:26 writeplatemenu write ok = 0, dish_id = 262
2022/07/18 10:32:29 writeplatemenu write ok = 0, dish_id = 269
2022/07/18 10:32:33 writeplatemenu write ok = 0, dish_id = 267
2022/07/18 10:32:36 writeplatemenu write ok = 0, dish_id = 270
2022/07/18 10:32:38 writeplatemenu write ok = 0, dish_id = 261
2022/07/18 10:32:41 writeplatemenu write ok = 0, dish_id = 264
2022/07/18 10:32:48 writeplatemenu write ok = 0, dish_id = 259
2022/07/18 10:33:24 writeplatemenu write ok = 0, dish_id = 0
2022/07/18 10:33:29 writeplatemenu write ok = 0, dish_id = 271
2022/07/18 10:33:31 writeplatemenu write ok = 0, dish_id = 257
2022/07/18 10:33:34 writeplatemenu write ok = 0, dish_id = 265
2022/07/18 10:37:46 writeplatemenu write ok = 0, dish_id = 258
2022/07/18 10:37:52 writeplatemenu write ok = 0, dish_id = 260
2022/07/18 10:37:56 writeplatemenu write ok = 0, dish_id = 269
2022/07/18 10:38:00 writeplatemenu write ok = 0, dish_id = 270
2022/07/18 10:38:05 writeplatemenu write ok = 0, dish_id = 261
2022/07/18 10:47:57 writeplatemenu write ok = 0, dish_id = 258
