2022/06/27 10:32:03 pMyThingName = Thing_cardWriterV2_1d556f0a-828c-4762-91fb-dc47119380ea
2022/06/27 10:32:04 Shadow Connect ok
2022/06/27 10:32:05 Shadow delta ok
2022/06/27 10:32:06 payload = JOB_GET_PENDING_TOPIC callback
2022/06/27 10:32:06 JOB_NOTIFY_NEXT_TOPIC / JOB_DESCRIBE_TOPIC($next) callback
2022/06/27 10:32:06 payload = {"timestamp":1656297125}ogressJobs":[],"queuedJobs":[]}
2022/06/27 10:32:08 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:09 shadow pReceivedJsonDocument 数据 = {"state":{"desired":{"sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757},"reported":{"menuUpdateTime":0,"romVersion":"MCT_DM2_0.0.4","sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757}},"metadata":{"desired":{"sn":{"sn":{"timestamp":1655447709},"code":{"timestamp":1655447709}},"restaurantID":{"timestamp":1656038544}},"reported":{"menuUpdateTime":{"timestamp":1656038561},"romVersion":{"timestamp":1656038561},"sn":{"sn":{"timestamp":1655447710},"code":{"timestamp":1655447710}},"restaurantID":{"timestamp":1656038562}}},"version":12,"timestamp":1656297129,"clientToken":"1d556f0a-828c-4762-91fb-dc47119380ea-0"}
2022/06/27 10:32:12 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:13 MenuUpdateTime Update Accepted !!
2022/06/27 10:32:13 romVersion Update Accepted !!
2022/06/27 10:32:13 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:14 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:15 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:16 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:18 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:19 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:20 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:21 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:23 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:24 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:25 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:26 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:27 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:29 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:30 mqttClient.clientStatus.clientState = 3
2022/06/27 10:32:31 mqttClient.clientStatus.clientState = 3
