2022/08/04 15:07:00 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 15:07:19 writeplatemenu write ok = 0, dish_id = 259
2022/08/04 16:06:03 writeplatemenu write ok = 0, dish_id = 268
2022/08/04 16:07:39 writeplatemenu write ok = 0, dish_id = 260
2022/08/04 16:07:47 writeplatemenu write ok = 0, dish_id = 263
2022/08/04 16:07:52 writeplatemenu write ok = 0, dish_id = 260
2022/08/04 16:08:36 writeplatemenu write ok = 0, dish_id = 260
2022/08/04 16:08:40 writeplatemenu write ok = 0, dish_id = 258
2022/08/04 16:08:52 writeplatemenu write ok = 0, dish_id = 260
2022/08/04 16:27:52 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 16:27:53 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 16:27:53 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 16:28:02 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 16:42:55 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 17:09:48 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 17:10:01 writeplatemenu write ok = 0, dish_id = 265
2022/08/04 17:10:13 writeplatemenu write ok = 0, dish_id = 258
2022/08/04 17:12:57 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 17:38:06 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 17:41:45 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 17:49:19 writeplatemenu write ok = 0, dish_id = 264
2022/08/04 18:01:35 writeplatemenu write ok = 0, dish_id = 264
