2022/06/29 10:47:38 pMyThingName = Thing_cardWriterV2_1d556f0a-828c-4762-91fb-dc47119380ea
2022/06/29 10:47:39 Shadow Connect ok
2022/06/29 10:47:40 Shadow delta ok
2022/06/29 10:47:41 payload = JOB_GET_PENDING_TOPIC callback
2022/06/29 10:47:41 JOB_NOTIFY_NEXT_TOPIC / JOB_DESCRIBE_TOPIC($next) callback
2022/06/29 10:47:41 payload = {"timestamp":1656470861}ogressJobs":[],"queuedJobs":[]}
2022/06/29 10:47:43 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:44 shadow pReceivedJsonDocument 数据 = {"state":{"desired":{"sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757},"reported":{"menuUpdateTime":0,"romVersion":"MCT_DM2_0.0.4","sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757}},"metadata":{"desired":{"sn":{"sn":{"timestamp":1655447709},"code":{"timestamp":1655447709}},"restaurantID":{"timestamp":1656038544}},"reported":{"menuUpdateTime":{"timestamp":1656297132},"romVersion":{"timestamp":1656297132},"sn":{"sn":{"timestamp":1655447710},"code":{"timestamp":1655447710}},"restaurantID":{"timestamp":1656038562}}},"version":14,"timestamp":1656470864,"clientToken":"1d556f0a-828c-4762-91fb-dc47119380ea-0"}
2022/06/29 10:47:47 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:48 MenuUpdateTime Update Accepted !!
2022/06/29 10:47:48 romVersion Update Accepted !!
2022/06/29 10:47:48 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:49 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:50 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:52 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:53 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:54 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:55 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:56 mqttClient.clientStatus.clientState = 3
2022/06/29 10:47:58 mqttClient.clientStatus.clientState = 3
