2022/08/03 11:22:10 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 11:22:11 read writeplatemenu ok err = 0, dishMsg.dishid = 264
2022/08/03 11:22:14 read writeplatemenu ok err = 0, dishMsg.dishid = 264
2022/08/03 12:15:55 writeplatemenu write ok = 0, dish_id = 260
2022/08/03 12:16:18 writeplatemenu write ok = 0, dish_id = 260
2022/08/03 12:17:23 writeplatemenu write ok = 0, dish_id = 260
2022/08/03 12:18:35 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 13:42:03 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 13:51:16 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 13:52:39 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 13:55:10 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 13:57:43 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 13:57:58 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 13:59:17 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:02:02 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:02:07 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:03:31 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:03:37 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:06:08 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:07:13 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:08:24 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:08:32 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:09:39 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:11:29 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:11:38 writeplatemenu write ok = 0, dish_id = 267
2022/08/03 14:11:45 writeplatemenu write ok = 0, dish_id = 260
2022/08/03 14:13:32 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:13:41 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:14:00 writeplatemenu write ok = 0, dish_id = 265
2022/08/03 14:14:06 writeplatemenu write ok = 0, dish_id = 258
2022/08/03 14:15:49 writeplatemenu write ok = 0, dish_id = 258
2022/08/03 14:16:43 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:16:54 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:17:00 writeplatemenu write ok = 0, dish_id = 258
2022/08/03 14:17:10 writeplatemenu write ok = 0, dish_id = 259
2022/08/03 14:17:16 writeplatemenu write ok = 0, dish_id = 260
2022/08/03 14:17:21 writeplatemenu write ok = 0, dish_id = 265
2022/08/03 14:17:31 writeplatemenu write ok = 0, dish_id = 259
2022/08/03 14:22:19 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:26:31 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:26:38 writeplatemenu write ok = 0, dish_id = 263
2022/08/03 14:27:05 writeplatemenu write ok = 0, dish_id = 259
2022/08/03 14:27:11 writeplatemenu write ok = 0, dish_id = 263
2022/08/03 14:27:35 writeplatemenu write ok = 0, dish_id = 264
2022/08/03 14:29:54 writeplatemenu write ok = 0, dish_id = 259
2022/08/03 14:30:01 writeplatemenu write ok = 0, dish_id = 258
