2022/07/08 10:07:39 pMyThingName = Thing_cardWriterV2_1d556f0a-828c-4762-91fb-dc47119380ea
2022/07/08 10:07:41 Shadow Connect ok
2022/07/08 10:07:41 Shadow delta ok
2022/07/08 10:07:42 payload = JOB_GET_PENDING_TOPIC callback
2022/07/08 10:07:42 JOB_NOTIFY_NEXT_TOPIC / JOB_DESCRIBE_TOPIC($next) callback
2022/07/08 10:07:42 payload = {"timestamp":1657246061}ogressJobs":[],"queuedJobs":[]}
2022/07/08 10:07:45 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:46 shadow pReceivedJsonDocument 数据 = {"state":{"desired":{"sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757,"menuUpdateTime":1656658619000},"reported":{"menuUpdateTime":1656658619000,"romVersion":"MCT_DM2_0.0.9","sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757}},"metadata":{"desired":{"sn":{"sn":{"timestamp":1655447709},"code":{"timestamp":1655447709}},"restaurantID":{"timestamp":1656038544},"menuUpdateTime":{"timestamp":1656989981}},"reported":{"menuUpdateTime":{"timestamp":1657164858},"romVersion":{"timestamp":1657164858},"sn":{"sn":{"timestamp":1655447710},"code":{"timestamp":1655447710}},"restaurantID":{"timestamp":1656038562}}},"version":59,"timestamp":1657246065,"clientToken":"1d556f0a-828c-4762-91fb-dc47119380ea-0"}
2022/07/08 10:07:48 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:49 MenuUpdateTime Update Accepted !!
2022/07/08 10:07:49 romVersion Update Accepted !!
2022/07/08 10:07:49 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:50 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:52 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:53 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:54 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:55 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:57 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:58 mqttClient.clientStatus.clientState = 3
2022/07/08 10:07:59 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:00 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:01 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:03 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:04 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:05 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:06 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:07 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:09 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:10 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:11 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:12 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:14 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:15 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:16 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:17 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:18 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:20 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:21 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:22 mqttClient.clientStatus.clientState = 3
2022/07/08 10:08:23 mqttClient.clientStatus.clientState = 3
