2022/07/07 10:28:01 pMyThingName = Thing_cardWriterV2_1d556f0a-828c-4762-91fb-dc47119380ea
2022/07/07 10:28:03 Shadow Connect ok
2022/07/07 10:28:04 Shadow delta ok
2022/07/07 10:28:05 payload = JOB_GET_PENDING_TOPIC callback
2022/07/07 10:28:05 JOB_NOTIFY_NEXT_TOPIC / JOB_DESCRIBE_TOPIC($next) callback
2022/07/07 10:28:05 payload = {"timestamp":1657160885}ogressJobs":[],"queuedJobs":[]}
2022/07/07 10:28:07 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:08 shadow pReceivedJsonDocument 数据 = {"state":{"desired":{"sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757,"menuUpdateTime":1656658619000},"reported":{"menuUpdateTime":1656658619000,"romVersion":"MCT_DM2_0.0.9","sn":{"sn":"DM2A205139017","code":"476017"},"restaurantID":8757}},"metadata":{"desired":{"sn":{"sn":{"timestamp":1655447709},"code":{"timestamp":1655447709}},"restaurantID":{"timestamp":1656038544},"menuUpdateTime":{"timestamp":1656989981}},"reported":{"menuUpdateTime":{"timestamp":1657080583},"romVersion":{"timestamp":1657080583},"sn":{"sn":{"timestamp":1655447710},"code":{"timestamp":1655447710}},"restaurantID":{"timestamp":1656038562}}},"version":53,"timestamp":1657160888,"clientToken":"1d556f0a-828c-4762-91fb-dc47119380ea-0"}
2022/07/07 10:28:11 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:12 MenuUpdateTime Update Accepted !!
2022/07/07 10:28:12 romVersion Update Accepted !!
2022/07/07 10:28:12 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:13 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:14 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:15 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:17 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:18 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:19 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:20 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:22 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:23 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:24 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:25 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:26 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:28 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:29 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:30 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:31 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:32 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:34 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:35 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:36 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:37 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:39 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:40 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:41 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:42 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:43 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:45 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:46 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:47 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:48 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:49 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:51 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:52 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:53 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:54 mqttClient.clientStatus.clientState = 3
2022/07/07 10:28:56 mqttClient.clientStatus.clientState = 3
