2022/08/02 11:09:52 writeplatemenu write ok = 0, dish_id = 264
2022/08/02 11:50:50 writeplatemenu write ok = 0, dish_id = 264
2022/08/02 11:50:54 writeplatemenu write ok = 0, dish_id = 264
2022/08/02 15:16:59 writeplatemenu write ok = 0, dish_id = 267
2022/08/02 15:41:34 writeplatemenu write ok = 0, dish_id = 265
2022/08/02 15:51:59 writeplatemenu write ok = 0, dish_id = 259
2022/08/02 17:52:33 writeplatemenu write ok = 0, dish_id = 264
2022/08/02 17:56:35 writeplatemenu write ok = 0, dish_id = 264
2022/08/02 17:57:01 writeplatemenu write ok = 0, dish_id = 258
2022/08/02 17:57:43 writeplatemenu write ok = 0, dish_id = 258
2022/08/02 18:08:46 writeplatemenu write ok = 0, dish_id = 264
2022/08/02 18:24:13 writeplatemenu write ok = 0, dish_id = 264
