2022/07/22 11:44:46 writeplatemenu write ok = 0, dish_id = 261
2022/07/22 11:45:10 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:12 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:15 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:19 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:22 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:26 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:29 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:32 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:43 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:47 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:51 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:45:54 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:46:18 writeplatemenu write ok = 0, dish_id = 261
2022/07/22 11:46:21 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:46:24 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:46:26 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:46:29 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:46:32 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:46:36 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:46:38 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:46:41 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:47:00 writeplatemenu write ok = 0, dish_id = 261
2022/07/22 11:47:09 writeplatemenu write ok = 0, dish_id = 264
2022/07/22 11:52:39 writeplatemenu write ok = 0, dish_id = 261
2022/07/22 11:52:41 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:52:43 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:52:45 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:52:47 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:52:49 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:52:52 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:52:56 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:00 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:04 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:06 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:07 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:08 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:10 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:14 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:17 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:19 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:53:38 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:54:08 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:54:11 read writeplatemenu ok err = 0, dishMsg.dishid = 261
2022/07/22 11:54:14 read writeplatemenu ok err = 0, dishMsg.dishid = 261
